date,open,high,low,close,volume,amount
2023-01-03,13.2,13.85,13.05,13.77,219412794,2971546880.0
2023-01-04,13.71,14.42,13.63,14.32,218968253,3110729472.0
2023-01-05,14.4,14.74,14.37,14.48,166542518,2417272320.0
2023-01-06,14.5,14.72,14.48,14.62,119574471,1747915136.0
2023-01-09,14.75,14.88,14.52,14.8,105765911,1561368448.0
2023-01-10,14.76,14.89,14.39,14.44,126942339,1851093760.0
2023-01-11,14.45,14.78,14.39,14.67,83056612,1217450752.0
2023-01-12,14.77,14.77,14.53,14.67,62569484,914367680.0
2023-01-13,14.67,14.95,14.55,14.95,94908583,1407181056.0
2023-01-16,14.95,15.28,14.85,15.08,156003989,2356399872.0
2023-01-17,15.13,15.18,14.77,14.97,93583454,1396151552.0
2023-01-18,14.95,15.18,14.91,15.11,71843403,1083362944.0
2023-01-19,15.13,15.25,14.87,15.09,64187520,963744640.0
2023-01-20,15.16,15.24,15.0,15.13,60859008,920144832.0
2023-01-30,15.6,15.74,14.89,15.15,137431750,2096867712.0
2023-01-31,15.24,15.51,14.96,14.99,103049784,1568639360.0
2023-02-01,15.03,15.08,14.51,14.7,165342148,2426471936.0
2023-02-02,14.74,14.78,14.27,14.6,157790039,2280744960.0
2023-02-03,14.45,14.55,14.16,14.32,124638298,1782105856.0
2023-02-06,14.1,14.13,13.86,14.0,131761010,1838428672.0
2023-02-07,14.06,14.32,14.03,14.21,86946046,1235297792.0
2023-02-08,14.24,14.32,14.03,14.04,65789257,928708928.0
2023-02-09,14.01,14.3,13.96,14.13,83035002,1174361984.0
2023-02-10,14.1,14.12,13.86,13.98,84728366,1184283392.0
2023-02-13,13.94,13.94,13.6,13.82,180005416,2473405184.0
2023-02-14,13.85,13.98,13.8,13.96,90993709,1263892096.0
2023-02-15,13.95,13.96,13.62,13.67,125024398,1713566720.0
2023-02-16,13.68,13.91,13.5,13.6,127912329,1757431040.0
2023-02-17,13.63,13.72,13.43,13.43,91836369,1246777344.0
2023-02-20,13.5,14.15,13.49,14.15,211619117,2945969664.0
2023-02-21,14.06,14.2,13.92,14.1,99049499,1393153408.0
2023-02-22,14.0,14.12,13.94,14.02,63892239,895742528.0
2023-02-23,14.0,14.32,13.98,14.05,82449068,1165539840.0
2023-02-24,14.02,14.03,13.8,13.86,72998904,1012652992.0
2023-02-27,13.75,13.88,13.68,13.69,62146193,854854016.0
2023-02-28,13.75,13.85,13.61,13.78,60793592,833316032.0
2023-03-01,13.8,14.19,13.74,14.17,122345178,1719710592.0
2023-03-02,14.13,14.44,14.06,14.24,101587684,1447565952.0
2023-03-03,14.35,14.37,14.14,14.29,69095439,985552128.0
2023-03-06,14.3,14.3,13.72,13.85,145582414,2023954560.0
2023-03-07,13.85,14.1,13.65,13.69,127926629,1773654784.0
2023-03-08,13.63,13.64,13.4,13.53,109689791,1479838976.0
2023-03-09,13.54,13.58,13.13,13.2,173606476,2305765888.0
2023-03-10,13.0,13.27,13.0,13.14,85699610,1128558336.0
2023-03-13,13.12,13.29,13.0,13.05,100063496,1309490048.0
2023-03-14,12.99,13.0,12.73,12.87,114907558,1474124160.0
2023-03-15,13.05,13.18,12.94,13.05,97936372,1278262272.0
2023-03-16,12.89,13.03,12.8,12.82,91679249,1182054400.0
2023-03-17,12.99,13.04,12.65,12.75,155681414,2000832384.0
2023-03-20,12.76,12.85,12.55,12.57,118881633,1505893632.0
2023-03-21,12.65,12.78,12.5,12.7,84074317,1060914048.0
2023-03-22,12.75,12.88,12.71,12.79,87669077,1121080704.0
2023-03-23,12.7,12.9,12.63,12.9,80430604,1029380480.0
2023-03-24,12.85,12.86,12.76,12.82,62151875,796319552.0
2023-03-27,12.8,12.81,12.46,12.6,100842214,1266945024.0
2023-03-28,12.66,12.73,12.55,12.64,67386843,851797888.0
2023-03-29,12.73,12.74,12.5,12.53,59606433,750687552.0
2023-03-30,12.55,12.71,12.41,12.68,82454624,1035422912.0
2023-03-31,12.69,12.77,12.51,12.53,86549166,1092263424.0
2023-04-03,12.55,12.69,12.46,12.67,74042886,934285184.0
2023-04-04,12.64,12.72,12.59,12.65,64745722,817726528.0
2023-04-06,12.6,12.61,12.5,12.58,56332130,706480640.0
2023-04-07,12.57,12.69,12.5,12.62,60792526,767354816.0
2023-04-10,12.64,12.7,12.58,12.68,64018181,809943168.0
2023-04-11,12.7,12.72,12.52,12.54,77777962,978302912.0
2023-04-12,12.58,12.59,12.45,12.48,90995706,1136997760.0
2023-04-13,12.41,12.67,12.3,12.56,113159146,1413918976.0
2023-04-14,12.6,12.9,12.58,12.69,129799484,1653539584.0
2023-04-17,12.66,12.94,12.6,12.93,130421259,1669357696.0
2023-04-18,12.93,13.2,12.89,13.0,153893615,2009934848.0
2023-04-19,13.02,13.07,12.83,12.85,101437815,1309536000.0
2023-04-20,12.9,12.9,12.62,12.75,81178841,1033330688.0
2023-04-21,12.7,12.83,12.48,12.5,91866839,1160509824.0
2023-04-24,12.48,12.5,12.03,12.1,146767192,1798134016.0
2023-04-25,12.14,12.37,12.12,12.28,130190082,1595320192.0
2023-04-26,12.25,12.25,11.99,12.12,99126040,1197555712.0
2023-04-27,12.06,12.35,12.0,12.26,100409337,1222755968.0
2023-04-28,12.26,12.78,12.22,12.55,144525434,1816868096.0
2023-05-04,12.4,12.83,12.19,12.73,147826438,1863146112.0
2023-05-05,12.78,13.11,12.75,12.91,176218865,2283981056.0
2023-05-08,12.94,13.49,12.84,13.32,263071861,3478891520.0
2023-05-09,13.4,13.6,13.13,13.16,242253445,3238716416.0
2023-05-10,13.17,13.26,12.8,12.84,123705339,1600189952.0
2023-05-11,12.95,13.12,12.8,12.85,90375844,1166479360.0
2023-05-12,12.82,12.87,12.61,12.62,88560368,1124579072.0
2023-05-15,12.68,12.85,12.45,12.83,92832563,1173804288.0
2023-05-16,12.8,12.92,12.57,12.62,99830169,1267712128.0
2023-05-17,12.58,12.64,12.44,12.49,75462120,945315200.0
2023-05-18,12.57,12.64,12.43,12.49,68718687,861347520.0
2023-05-19,12.43,12.44,12.32,12.34,68841368,851165568.0
2023-05-22,12.31,12.45,12.31,12.38,54932785,679754880.0
2023-05-23,12.38,12.41,12.21,12.21,69436436,852871168.0
2023-05-24,12.2,12.21,12.01,12.01,82425088,996600576.0
2023-05-25,11.99,12.0,11.81,11.93,88274430,1050002560.0
2023-05-26,11.93,12.13,11.84,12.1,51142864,613772928.0
2023-05-29,12.11,12.13,11.95,11.98,56607382,680275584.0
2023-05-30,11.98,11.99,11.8,11.87,76399692,906316352.0
2023-05-31,11.82,11.84,11.58,11.6,117958671,1376758400.0
2023-06-01,11.6,11.68,11.5,11.59,74302293,861646464.0
2023-06-02,11.68,11.97,11.64,11.93,122184253,1446502656.0
2023-06-05,11.88,12.0,11.82,11.91,52184619,620531392.0
2023-06-06,11.91,12.09,11.82,11.84,83327347,997039296.0
2023-06-07,11.89,12.07,11.88,11.94,64369784,770386880.0
2023-06-08,11.96,12.2,11.86,12.12,86939712,1048266240.0
2023-06-09,12.06,12.09,11.85,11.88,131528476,1566929280.0
2023-06-12,11.82,11.9,11.76,11.79,75874703,896015680.0
2023-06-13,11.76,11.84,11.69,11.77,84998805,1000183552.0
2023-06-14,11.55,11.73,11.46,11.47,106920004,1237376768.0
2023-06-15,11.49,11.63,11.39,11.61,92530056,1064567232.0
2023-06-16,11.61,11.67,11.57,11.63,84203365,978869312.0
2023-06-19,11.63,11.63,11.41,11.45,95399707,1096351104.0
2023-06-20,11.44,11.46,11.35,11.36,54455079,620374336.0
2023-06-21,11.36,11.48,11.34,11.35,61658296,703681536.0
2023-06-26,11.3,11.3,11.15,11.18,67657743,757976000.0
2023-06-27,11.2,11.32,11.17,11.28,46170178,519520672.0
2023-06-28,11.28,11.33,11.22,11.3,36539644,412039360.0
2023-06-29,11.29,11.29,11.17,11.18,48590630,544534848.0
2023-06-30,11.18,11.31,11.15,11.23,51905258,583494656.0
2023-07-03,11.24,11.53,11.23,11.49,88509071,1009887424.0
2023-07-04,11.46,11.49,11.32,11.4,61630056,701885248.0
2023-07-05,11.36,11.4,11.3,11.34,42348240,479726272.0
2023-07-06,11.3,11.34,11.21,11.24,59709591,672396800.0
2023-07-07,11.2,11.27,11.18,11.2,48444083,543212480.0
2023-07-10,11.25,11.28,11.17,11.2,49588228,556581568.0
2023-07-11,11.22,11.26,11.19,11.21,57080909,640131776.0
2023-07-12,11.23,11.36,11.22,11.24,73608367,830230848.0
2023-07-13,11.32,11.47,11.27,11.43,112422973,1281848320.0
2023-07-14,11.43,11.55,11.4,11.46,71914699,825295744.0
2023-07-17,11.41,11.41,11.26,11.31,60834258,687262912.0
2023-07-18,11.29,11.32,11.22,11.25,47196618,531299776.0
2023-07-19,11.23,11.32,11.23,11.31,38219596,430771264.0
2023-07-20,11.33,11.44,11.29,11.32,55406957,629696128.0
2023-07-21,11.31,11.39,11.28,11.34,37710256,427375936.0
2023-07-24,11.33,11.33,11.24,11.26,42685218,480713408.0
2023-07-25,11.45,11.73,11.44,11.72,203295819,2358815232.0
2023-07-26,11.65,11.74,11.56,11.67,75166268,875260160.0
2023-07-27,11.68,11.87,11.65,11.75,111519586,1314228352.0
2023-07-28,11.69,12.3,11.67,12.26,234701346,2839828224.0
2023-07-31,12.3,12.5,12.23,12.32,185495239,2288940288.0
2023-08-01,12.26,12.37,12.13,12.16,95773478,1169570688.0
2023-08-02,12.06,12.24,11.93,12.03,111590004,1343864192.0
2023-08-03,11.99,12.37,11.95,12.33,117584771,1433255552.0
2023-08-04,12.42,12.53,12.21,12.3,130313102,1611435392.0
2023-08-07,12.21,12.25,12.12,12.16,64691326,786506432.0
2023-08-08,12.12,12.21,12.0,12.1,72570456,877489216.0
2023-08-09,12.06,12.2,12.05,12.17,57760774,702060800.0
2023-08-10,12.15,12.21,12.06,12.16,47559453,577123904.0
2023-08-11,12.17,12.27,11.89,11.89,94353857,1132867200.0
2023-08-14,11.76,11.78,11.59,11.67,97592018,1139185280.0
2023-08-15,11.69,11.8,11.6,11.73,71281277,834163008.0
2023-08-16,11.67,11.85,11.61,11.73,57290437,671706048.0
2023-08-17,11.67,11.7,11.46,11.57,96505775,1116292608.0
2023-08-18,11.58,11.74,11.53,11.56,65981885,767047296.0
2023-08-21,11.56,11.58,11.32,11.32,70149785,799641408.0
2023-08-22,11.38,11.45,11.31,11.37,60680809,689991232.0
2023-08-23,11.35,11.42,11.24,11.25,69180998,783102848.0
2023-08-24,11.29,11.32,11.05,11.13,129127070,1439197056.0
2023-08-25,11.1,11.33,11.08,11.23,84534992,946760256.0
2023-08-28,11.84,11.93,11.49,11.52,199760987,2336205824.0
2023-08-29,11.47,11.49,11.13,11.31,196496143,2217588736.0
2023-08-30,11.27,11.27,11.13,11.13,137563829,1537573504.0
2023-08-31,11.14,11.22,11.12,11.13,80647403,900123584.0
2023-09-01,11.19,11.36,11.19,11.32,113870483,1285169024.0
2023-09-04,11.35,11.59,11.33,11.56,141002923,1621769216.0
2023-09-05,11.5,11.51,11.36,11.39,80417716,917888832.0
2023-09-06,11.33,11.46,11.3,11.43,63484051,721905664.0
2023-09-07,11.4,11.44,11.32,11.33,54004157,613812160.0
2023-09-08,11.28,11.32,11.23,11.27,47902967,539624960.0
2023-09-11,11.3,11.4,11.27,11.34,65448558,741764928.0
2023-09-12,11.35,11.35,11.25,11.28,49548506,559058560.0
2023-09-13,11.29,11.32,11.21,11.25,49021797,551747648.0
2023-09-14,11.28,11.33,11.25,11.29,55165017,622906048.0
2023-09-15,11.35,11.4,11.2,11.22,89047613,1005529152.0
2023-09-18,11.22,11.24,11.14,11.23,50132501,561449792.0
2023-09-19,11.22,11.23,11.16,11.21,50366432,564044032.0
2023-09-20,11.2,11.22,11.15,11.15,55887241,624785472.0
2023-09-21,11.14,11.14,11.04,11.05,84393011,934673216.0
2023-09-22,11.03,11.25,11.03,11.24,91148430,1017137920.0
2023-09-25,11.24,11.32,11.19,11.22,76121125,856022528.0
2023-09-26,11.22,11.26,11.14,11.16,44498035,497885824.0
2023-09-27,11.15,11.22,11.15,11.17,49031061,547905792.0
2023-09-28,11.19,11.24,11.18,11.2,52069678,583649728.0
2023-10-09,11.16,11.17,11.06,11.11,69582809,772959360.0
2023-10-10,11.19,11.2,11.02,11.02,82074851,910160320.0
2023-10-11,11.09,11.09,10.96,10.98,72411569,797663808.0
2023-10-12,11.11,11.16,11.04,11.11,85305750,947562304.0
2023-10-13,11.03,11.07,10.95,11.0,68448308,753110720.0
2023-10-16,11.0,11.03,10.95,11.01,50162432,550988736.0
2023-10-17,11.01,11.05,10.96,11.02,49352505,543170880.0
2023-10-18,10.99,11.02,10.91,10.95,65182492,713979904.0
2023-10-19,10.91,10.92,10.59,10.6,118896083,1271914624.0
2023-10-20,10.55,10.67,10.51,10.6,52613912,557618624.0
2023-10-23,10.59,10.6,10.43,10.5,53040448,557032256.0
2023-10-24,10.54,10.61,10.44,10.55,76065269,801528384.0
2023-10-25,10.51,10.54,10.36,10.38,141144968,1470971904.0
2023-10-26,10.31,10.42,10.3,10.41,59999147,621915264.0
2023-10-27,10.38,10.48,10.33,10.45,91977136,957587520.0
2023-10-30,10.4,10.47,10.35,10.45,80568955,837646016.0
